['S7 (Rhine-Main S-Bahn)', 'Rhine-Main S-Bahn']
['Crypt of the Devil', 'Death metal']
['Poko people', 'Transvaal (province)']
['Menino de engenho', 'Novel']
['Museum of Ancient Seafaring', 'German language']
['Cubagua Island', 'Venezuela']
['Netball Northern Territory', 'Netball']
['Tetrahedron packing', 'Geometry']
['The Taxi Driver', 'Comedy film']
['Dean of Ripon', 'Church of England']
['Vägga IP', 'Karlshamn']
['Manner of articulation', 'Articulatory phonetics']
['2020 24 Hours of Spa', 'Spa 24 Hours']
['Bethlehem of Galilee', 'Bethlehem']
["Florida's 28th congressional district", '2020 United States census']
['Sabine Röther', 'East Germany']
['List of horror films of 1978', 'Horror film']
["India's Got Talent (season 8)", 'Malaika Arora']
['Self-portrait by Judith Leyster', 'Dutch Golden Age painting']
['Jabal Aqd', 'Arabic']
['Carman-Ainsworth High School', 'Secondary school']
['Varner Unit', 'Prison']
['Queensland Government Savings Bank', 'Queensland']
['Robert Young Eaton', 'Eaton family (Toronto)']
['Sellin', 'Municipalities of Germany']
['Peninsula State Park', 'List of Wisconsin state parks']
['1960 elections in India', 'File:Rajya Sabha June 2020.Svg']
['Northview, Michigan', 'Unincorporated area']
['Kalamai (dessert)', 'Chamorro people']
['LTE (telecommunication)', 'Telecommunications']
['Bidhand, Qom', 'Persian language']
['Vendovi Island', 'Washington (state)']
['Setoglyphus', 'Acaridae']
['Equestrian at the 1996 Summer Olympics – Individual jumping', 'Show jumping']
['Lazarevskoe Cemetery', 'Russian language']
['Kalinino, Alexandrovsky District, Vladimir Oblast', 'Russian language']
['Demko']
['Sophie Capewell', 'Cycle sport']
['Norcycloartenol', 'Metabolic intermediate']
['Kentucky Route 88', 'State highway']
['Motahhari (surname)', 'Persian name']
['Louis F. Vetter', 'Washington, Illinois']
['Gravity darkening', 'Astronomy']
['Utricularia rhododactylos', 'Annual plant']
['Marching machine', 'Percussion instrument']
['Molini di Triora', 'Ligurian language']
['Shah Alam Circuit', 'Shah Alam']
['Edmond J. Safra Synagogue (Brooklyn)', 'Orthodox Judaism']
['Séry Bailly', 'Abidjan']
['Ulla Salzgeber', 'Oberhausen']
['Schlechtendalia chinensis', 'Sumac']
['Jacktown, Kentucky', 'Unincorporated area']
['Brad Carvey', 'Missoula, Montana']
['Ilguva Manor', 'Šakiai District Municipality']
['Yury Okhochinsky', 'Boksitogorsk']
["Godzilla's/Eatin' Dust", 'Stoner rock']
['Campylidium', 'Moss']
['Liberty Hall (Quakertown, Pennsylvania)', 'Quakertown, Pennsylvania']
['Sacrow–Paretz Canal', 'German language']
['Gurdwara Mata Sundri', 'Gurdwara']
['Daniela Solís', "Women's association football"]
['Church of Noise', 'Therapy?']
['Čestereg', 'Serbian Cyrillic alphabet']
['The Heir to the Hoorah', 'Silent film']
['ICE Clear Credit', 'Limited liability company']
['Level 23', 'Network 10']
['Adrianna Tate-Duncan', 'The CW']
['Shelburne, New Hampshire', 'New England town']
['Robert Zika', 'Switzerland']
['Clivina hoberlandti', 'Ground beetle']
['Bunge SA v Nidera BV', 'Supreme Court of the United Kingdom']
['Pirgula', 'Genus']
['Post-election pendulum for the 2010 Victorian state election', 'Mackerras pendulum']
['Austin Jackson (American football)', 'American football']
['Caloptilia sassafrasicola', 'Moth']
['Kurukh language', 'Devanagari']
['Bradley J. Bondi', 'Cahill Gordon & Reindel']
['Michel Havard', 'National Assembly (France)']
['Downtown Oklahoma City', 'Oklahoma City metropolitan area']
['Radosław Kanach', 'Association football']
['Tahuna Breaks', 'New Zealand']
['Natchiboura', 'Geographic coordinate system']
['Little Italy', 'Ethnic enclave']
['Michaela Bornemann', 'Judo']
['Vivian Martin', 'Silent film']
['Al-Mufaddal ibn al-Muhallab', 'Greater Khorasan']
['Sumiyoshi-zukuri', 'Shinto shrine']
['The Happy Cricket and the Giant Bugs', 'Portuguese language']
['Matthew Robinson (snowboarder)', 'La Molina (ski resort)']
['Samantha Bromberg', 'Diving (sport)']
['Erodium alnifolium', 'Geraniaceae']
['List of Canton Bulldogs players', 'Don Batchelor']
['Thomas J. McManus', 'New York (state)']
['Gonzalo Rodríguez Martín-Granizo', 'Admiral general (Spain)']
['Showstopper (TobyMac song)', 'TobyMac']
